name,PosX,PosY,PosZ,ScaleX,ScaleY,ScaleZ,RotX,RotY,RotZ,ProjFlg,ArtFlg,DefArt,Behavior,cycle,Speed,Offset
,,,,,,,,,,,,,,,,
Spikes,-2,0,0,1,1,1,0,0,0,TRUE,FALSE,null,,,,
Spikes,-2,0,1,1,1,1,0,0,0,TRUE,FALSE,null,,,,
Spikes,-2,0,2,1,1,1,0,0,0,TRUE,FALSE,null,,,,
Spikes,-2,0,3,1,1,1,0,0,0,TRUE,FALSE,null,,,,
Spikes,-2,0,-1,1,1,1,0,0,0,TRUE,FALSE,null,,,,
Spikes,-2,0,-2,1,1,1,0,0,0,TRUE,FALSE,null,,,,
Spikes,-2,0,-3,1,1,1,0,0,0,TRUE,FALSE,null,,,,
,,,,,,,,,,,,,,,,
Spikes,-6,0,0,1,1,1,0,0,0,FALSE,FALSE,null,,,,
Spikes,-6,0,1,1,1,1,0,0,0,FALSE,FALSE,null,,,,
Spikes,-6,0,2,1,1,1,0,0,0,FALSE,FALSE,null,,,,
Spikes,-6,0,3,1,1,1,0,0,0,FALSE,FALSE,null,,,,
Spikes,-6,0,-1,1,1,1,0,0,0,FALSE,FALSE,null,,,,
Spikes,-6,0,-2,1,1,1,0,0,0,FALSE,FALSE,null,,,,
Spikes,-6,0,-3,1,1,1,0,0,0,FALSE,FALSE,null,,,,
,,,,,,,,,,,,,,,,
Spikes,-7,0,0,1,1,1,0,0,0,FALSE,FALSE,null,,,,
Spikes,-7,0,1,1,1,1,0,0,0,FALSE,FALSE,null,,,,
Spikes,-7,0,2,1,1,1,0,0,0,FALSE,FALSE,null,,,,
Spikes,-7,0,3,1,1,1,0,0,0,FALSE,FALSE,null,,,,
Spikes,-7,0,-1,1,1,1,0,0,0,FALSE,FALSE,null,,,,
Spikes,-7,0,-2,1,1,1,0,0,0,FALSE,FALSE,null,,,,
Spikes,-7,0,-3,1,1,1,0,0,0,FALSE,FALSE,null,,,,
,,,,,,,,,,,,,,,,
Spikes,-8,0,0,1,1,1,0,0,0,FALSE,FALSE,null,,,,
Spikes,-8,0,1,1,1,1,0,0,0,FALSE,FALSE,null,,,,
Spikes,-8,0,2,1,1,1,0,0,0,FALSE,FALSE,null,,,,
Spikes,-8,0,3,1,1,1,0,0,0,FALSE,FALSE,null,,,,
Spikes,-8,0,-1,1,1,1,0,0,0,FALSE,FALSE,null,,,,
Spikes,-8,0,-2,1,1,1,0,0,0,FALSE,FALSE,null,,,,
Spikes,-8,0,-3,1,1,1,0,0,0,FALSE,FALSE,null,,,,
,,,,,,,,,,,,,,,,
Plane,-20.5,0,0,6,8,1,90,0,0,TRUE,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Block,-16,0.5,0,1,1,3,0,0,0,FALSE,TRUE,Right,,,,
Block,-17.5,0.5,0,2,1,8,0,0,0,TRUE,FALSE,null,,,,
Block,-19,0.5,0,1,1,3,0,0,0,FALSE,TRUE,Left,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Plane,-29.75,0,0,12.5,8,1,90,0,0,TRUE,FALSE,null,,,,
,,,,,,,,,,,,,,,,
Block,-24,0.5,0,1,1,3,0,0,0,TRUE,FALSE,null,,,,
Block,-24,0.5,2.75,1,1,2.5,0,0,0,FALSE,TRUE,Right,,,,
Block,-24,0.5,-2.75,1,1,2.5,0,0,0,FALSE,TRUE,Left,,,,
,,,,,,,,,,,,,,,,
Battery,-27,0.5,-1,1,1,1,0,0,0,0.5,,,,,,
Block,-26.75,0.5,0,1.5,1,0.5,0,0,0,FALSE,TRUE,Left,,,,
Block,-25.25,0.5,0,1.5,1,0.5,0,0,0,TRUE,FALSE,null,,,,
,,,,,,,,,,,,,,,,
Block,-28,0.5,0,1,1,3,0,0,0,FALSE,FALSE,null,,,,
,,,,,,,,,,,,,,,,
Block,-30,0.5,0,3,1,0.5,0,0,0,FALSE,FALSE,null,,,,
,,,,,,,,,,,,,,,,
Block,-32,0.5,0,1,1,3,0,0,0,TRUE,FALSE,null,,,,
Block,-32,0.5,-2.75,1,1,2.5,0,0,0,FALSE,TRUE,null,Left,,,
,,,,,,,,,,,,,,,,
Enemy,-30,0.5,2.5,1,1,1,0,0,0,FALSE,FALSE,null,SinCurve,2,1,0
Enemy,-30,0.5,-2.5,1,1,1,0,0,0,FALSE,FALSE,null,SinCurve,2,1,3.124
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Goal,-36,0,0,0.5,0.5,0.5,0,90,0,,,,,,,
